0.100,2.000
0.819,1.000
0.068,1.000
0.013,1.000
0.231,1.000
0.001,1.000
0.010,1.000
0.054,1.000
0.151,1.000
0.270,1.000
0.055,1.000
0.097,1.000
0.024,1.000
0.010,1.000
0.148,1.000
0.007,1.000
0.017,1.000
0.124,1.000
0.661,1.000
0.016,1.000
0.335,1.000
0.234,1.000
0.144,1.000
0.049,1.000
0.214,1.000
0.733,1.000
0.097,1.000
0.333,1.000
0.091,1.000
0.021,1.000
0.056,1.000
0.009,1.000
0.099,1.000
0.424,1.000
0.397,1.000
0.017,1.000
0.034,1.000
0.006,1.000
0.186,1.000
0.018,1.000
0.029,1.000
0.312,1.000
0.116,1.000
0.638,1.000
0.463,1.000
0.208,1.000
0.861,1.000
0.021,1.000
0.041,1.000
0.422,1.000
0.053,1.000
0.004,1.000
0.055,1.000
0.273,1.000
0.129,1.000
0.865,1.000
0.279,1.000
0.200,1.000
0.030,1.000
0.229,1.000
0.231,1.000
0.074,1.000
0.026,1.000
0.243,1.000
0.025,1.000
0.286,1.000
0.168,1.000
0.028,1.000
0.154,1.000
0.056,1.000
0.116,1.000
0.270,1.000
0.209,1.000
0.400,1.000
0.031,1.000
0.547,1.000
0.211,1.000
0.205,1.000
0.004,1.000
0.551,1.000
0.090,1.000
0.256,1.000
0.125,1.000
0.167,1.000
0.142,1.000
0.204,1.000
0.053,1.000
0.206,1.000
0.163,1.000
0.100,1.000
0.390,1.000
0.245,1.000
0.132,1.000
0.079,1.000
0.024,1.000
0.072,1.000
0.282,1.000
0.163,1.000
0.076,1.000
0.035,1.000
0.069,1.000
0.113,1.000
0.087,1.000
0.234,1.000
0.082,1.000
0.803,1.000
0.189,1.000
0.052,1.000
0.051,1.000
0.098,1.000
0.009,1.000
0.004,1.000
0.031,1.000
0.001,1.000
0.119,1.000
0.005,1.000
0.001,1.000
0.177,1.000
0.222,1.000
0.006,1.000
0.097,1.000
0.381,1.000
0.102,1.000
0.074,1.000
0.197,1.000
0.062,1.000
0.049,1.000
0.058,1.000
0.238,1.000
0.560,1.000
0.150,1.000
0.115,1.000
0.058,1.000
0.013,1.000
0.028,1.000
0.005,1.000
0.970,1.000
0.450,1.000
0.007,1.000
0.549,1.000
0.281,1.000
0.004,1.000
0.029,1.000
0.000,1.000
0.005,1.000
0.075,1.000
0.035,1.000
0.032,1.000
0.030,1.000
0.090,1.000
0.128,1.000
0.238,1.000
0.401,1.000
0.024,1.000
0.010,1.000
0.122,1.000
0.028,1.000
0.002,1.000
0.416,1.000
0.013,1.000
0.056,1.000
0.131,1.000
0.330,1.000
0.089,1.000
0.304,1.000
0.581,1.000
0.099,1.000
0.167,1.000
0.066,1.000
0.092,1.000
0.032,1.000
0.064,1.000
0.006,1.000
0.057,1.000
0.110,1.000
0.555,1.000
0.071,1.000
0.007,1.000
0.039,1.000
0.029,1.000
0.038,1.000
0.069,1.000
0.018,1.000
0.001,1.000
0.052,1.000
0.051,1.000
0.075,1.000
0.071,1.000
0.112,1.000
0.076,1.000
0.001,1.000
0.018,1.000
0.162,1.000
0.012,1.000
0.065,1.000
0.001,1.000
0.038,1.000
0.053,1.000
0.021,1.000
0.219,1.000
0.020,1.000
0.403,1.000
0.186,1.000
0.009,1.000
0.043,1.000
0.021,1.000
0.004,1.000
0.119,1.000
0.161,1.000
0.053,1.000
0.455,1.000
0.039,1.000
0.050,1.000
0.379,1.000
0.036,1.000
0.648,1.000
0.766,1.000
0.019,1.000
0.912,1.000
0.447,1.000
0.035,1.000
0.034,1.000
0.016,1.000
0.018,1.000
0.117,1.000
0.280,1.000
0.379,1.000
0.199,1.000
0.568,1.000
0.498,1.000
0.023,1.000
0.014,1.000
0.011,1.000
0.202,1.000
0.587,1.000
0.030,1.000
0.149,1.000
0.001,1.000
0.627,1.000
0.022,1.000
0.104,1.000
0.415,1.000
0.046,1.000
0.017,1.000
0.011,1.000
0.850,1.000
0.193,1.000
0.322,1.000
0.298,1.000
0.087,1.000
0.225,1.000
0.005,1.000
0.001,1.000
0.187,1.000
0.005,1.000
0.001,1.000
0.064,1.000
0.007,1.000
0.807,1.000
0.002,1.000
0.020,1.000
0.001,1.000
0.065,1.000
0.183,1.000
0.105,1.000
0.033,1.000
0.092,1.000
0.084,1.000
0.079,1.000
0.471,1.000
0.083,1.000
0.055,1.000
0.004,1.000
0.010,1.000
0.133,1.000
0.157,1.000
0.196,1.000
